"","Date","Umpire","Home","Away","R [H]","R [A]","PC","IC","xIC","CC","xCC","CCAx","Acc","xAcc","AAx","Con","Fav [H]","totRI"
"","2015-04-05","Mike Winters","CHC","STL","0","3","158","17","14.7","141","143.3","-2.3","89.2","90.7","-1.5","94.9","1.1","4.36"
"","2015-04-06","Fieldin Culbreth","NYY","TOR","1","6","169","16","15.1","153","153.9","-0.9","90.5","91.1","-0.6","91.1","-0.79","1.87"
"","2015-04-06","Joe West","DET","MIN","4","0","109","8","9.4","101","99.6","1.4","92.7","91.3","1.3","96.3","-0.5","0.84"
"","2015-04-06","Dale Scott","MIL","COL","0","10","134","8","12.2","126","121.8","4.2","94","90.9","3.1","95.5","-1.09","1.39"
"","2015-04-06","Gerry Davis","PHI","BOS","0","8","171","18","17.2","153","153.8","-0.8","89.5","89.9","-0.5","94.7","-1","2.84"
"","2015-04-06","Dana DeMuth","TB","BAL","2","6","158","17","18","141","140","1","89.2","88.6","0.6","94.9","0.69","1.57"
"","2015-04-06","Tim Welke","WSH","NYM","1","3","123","17","12.3","106","110.7","-4.7","86.2","90","-3.8","90.2","0.52","1.82"
"","2015-04-06","John Hirschbeck","CIN","PIT","5","2","117","18","11.8","99","105.2","-6.2","84.6","89.9","-5.3","87.2","-0.45","2.21"
"","2015-04-06","Brian Gorman","LAD","SD","6","3","137","21","12.3","116","124.7","-8.7","84.7","91","-6.3","94.2","-0.8","2.08"
"","2015-04-06","Larry Vanover","SEA","LAA","4","1","139","20","16.9","119","122.1","-3.1","85.6","87.8","-2.2","88.5","0.4","2.16"
"","2015-04-06","Jerry Layne","KC","CWS","10","1","126","14","14.8","112","111.2","0.8","88.9","88.2","0.6","92.9","-0.33","1.19"
"","2015-04-06","Jeff Nelson","MIA","ATL","1","2","130","12","12.7","118","117.3","0.7","90.8","90.3","0.5","93.8","-0.28","1.42"
"","2015-04-06","Ted Barrett","HOU","CLE","2","0","124","21","14.2","103","109.8","-6.8","83.1","88.5","-5.5","91.9","0.51","1.97"
"","2015-04-06","Bill Miller","OAK","TEX","8","0","180","21","20.9","159","159.1","-0.1","88.3","88.4","-0.1","87.2","-0.4","2.44"
"","2015-04-06","Gary Cederstrom","AZ","SF","4","5","148","9","12.2","139","135.8","3.2","93.9","91.7","2.2","94.6","-0.36","0.84"
"","2015-04-07","Ed Hickox","TB","BAL","5","6","174","22","17.4","152","156.6","-4.6","87.4","90","-2.6","90.8","-0.08","2.42"
"","2015-04-07","Laz Diaz","MIA","ATL","2","12","185","17","20.2","168","164.8","3.2","90.8","89.1","1.7","89.7","1.03","2.55"
"","2015-04-07","Dan Iassogna","MIL","COL","2","5","122","10","11.6","112","110.4","1.6","91.8","90.5","1.3","92.6","-0.02","0.98"
"","2015-04-07","Eric Cooper","AZ","SF","7","6","166","13","17.6","153","148.4","4.6","92.2","89.4","2.8","89.8","0.25","1.23"
"","2015-04-07","Doug Eddings","OAK","TEX","1","3","140","14","12.2","126","127.8","-1.8","90","91.3","-1.3","94.3","1.17","2.17"
"","2015-04-07","Mark Carlson","LAD","SD","3","7","149*","18*","15.3*","131*","133.7*","-2.7*","87.9*","89.8*","-1.8*","96*","0.92*","1.84*"
"","2015-04-07","Ron Kulpa","SEA","LAA","0","2","133","10","12.4","123","120.6","2.4","92.5","90.7","1.8","92.5","0.27","0.97"
"","2015-04-08","Kerwin Danley","DET","MIN","11","0","178","26","20.9","152","157.1","-5.1","85.4","88.3","-2.9","91","-0.49","3.61"
"","2015-04-08","Mark Wegner","CHC","STL","2","0","133","11","13.9","122","119.1","2.9","91.7","89.5","2.2","90.2","0.4","0.84"
"","2015-04-08","Mike Everitt","WSH","NYM","2","1","115","13","11.9","102","103.1","-1.1","88.7","89.6","-0.9","93.9","-0.19","1.21"
"","2015-04-08","Phil Cuzzi","PHI","BOS","4","2","169","20","18.5","149","150.5","-1.5","88.2","89","-0.9","86.4","-0.2","2.48"
