index,Umpire,GC,PC,IC,xIC,CC,xCC,CCAx,Acc,xAcc,AAx,Con,Fav [H],totRI,IC_per_100,Acc_rank,Con_rank,AAx_rank,IC_per_100_rank,totRI_rank,avg_rank,Fav_rank
130,will little,238,34735.0,1995.0,2642.2,32740.0,32092.8,2.889,94.241,92.362,1.87,93.755,0.073,1.199,19.95,1.0,0.964,1.0,0.982,0.982,0.986,0.286
99,pat hoberg,250,36074.0,2110.0,2670.3,33964.0,33403.7,2.405,94.118,92.567,1.555,93.964,-0.013,1.156,21.1,0.982,1.0,0.982,0.946,1.0,0.982,0.83
10,ben may,224,31733.0,1942.0,2269.5,29791.0,29463.5,1.567,93.897,92.852,1.046,93.784,-0.012,1.237,19.42,0.964,0.982,0.893,1.0,0.964,0.961,0.875
77,lance barksdale,266,36528.0,2315.0,2735.5,34213.0,33792.5,1.767,93.672,92.503,1.167,93.647,0.071,1.266,23.15,0.911,0.929,0.946,0.839,0.929,0.911,0.321
3,alan porter,261,36587.0,2316.0,2744.0,34271.0,33843.0,1.806,93.69,92.495,1.192,93.644,-0.035,1.284,23.16,0.929,0.911,0.964,0.821,0.893,0.904,0.643
128,tripp gibson,264,37963.0,2348.0,2755.3,35615.0,35207.7,1.642,93.826,92.725,1.098,93.548,0.047,1.273,23.48,0.946,0.821,0.911,0.75,0.911,0.868,0.571
70,john tumpane,255,35658.0,2344.0,2652.9,33314.0,33005.1,1.326,93.416,92.536,0.88,93.694,0.075,1.297,23.44,0.839,0.946,0.857,0.768,0.875,0.857,0.259
105,quinn wolcott,243,33628.0,2250.0,2561.8,31378.0,31066.2,1.398,93.323,92.405,0.921,93.549,0.021,1.357,22.5,0.821,0.839,0.875,0.875,0.804,0.843,0.759
97,nic lentz,226,32661.0,2133.0,2390.9,30528.0,30270.1,1.205,93.48,92.689,0.793,93.483,-0.003,1.349,21.33,0.893,0.714,0.795,0.929,0.821,0.83,1.0
116,sean barber,207,30616.0,2022.0,2192.0,28594.0,28424.0,0.859,93.437,92.851,0.586,93.572,0.098,1.362,20.22,0.857,0.875,0.643,0.964,0.786,0.825,0.089
86,mark ripperger,256,36606.0,2391.0,2797.5,34215.0,33808.5,1.708,93.443,92.335,1.107,93.492,-0.006,1.319,23.91,0.875,0.768,0.929,0.714,0.839,0.825,0.973
26,chris conroy,230,32757.0,2282.0,2513.3,30475.0,30243.7,1.076,92.988,92.301,0.682,93.493,0.032,1.383,22.82,0.554,0.786,0.75,0.857,0.75,0.739,0.688
1,adam hamari,275,40090.0,2673.0,3014.2,37417.0,37075.8,1.288,93.316,92.471,0.843,93.394,-0.034,1.262,26.73,0.804,0.625,0.821,0.464,0.946,0.732,0.661
21,carlos torres,243,34023.0,2336.0,2479.8,31687.0,31543.2,0.66,93.121,92.679,0.449,93.551,0.007,1.409,23.36,0.696,0.857,0.571,0.786,0.661,0.714,0.938
28,chris segal,242,32841.0,2223.0,2357.3,30618.0,30483.7,0.619,93.23,92.807,0.421,93.272,0.075,1.301,22.23,0.768,0.464,0.554,0.911,0.857,0.711,0.259
87,mark wegner,241,34803.0,2352.0,2661.3,32451.0,32141.7,1.4,93.238,92.354,0.879,93.362,-0.063,1.421,23.52,0.786,0.571,0.839,0.732,0.58,0.702,0.375
129,vic carapazza,261,37982.0,2584.0,2796.5,35398.0,35185.5,0.871,93.217,92.614,0.598,93.606,-0.062,1.425,25.84,0.75,0.893,0.714,0.571,0.554,0.696,0.393
65,jim wolf,242,34710.0,2434.0,2643.3,32276.0,32066.7,0.93,92.966,92.379,0.589,93.487,0.091,1.377,24.34,0.536,0.75,0.661,0.696,0.768,0.682,0.152
