Umpire,GC,PC,IC,xIC,CC,xCC,CCAx,Acc,xAcc,AAx,Con,Fav [H],totRI
adam beck,101,14989.0,827.0,993.0,14162.0,13996.0,1.66,94.508,93.374,1.133,94.031,-0.022,1.089
adam hamari,275,40090.0,2673.0,3014.2,37417.0,37075.8,1.288,93.316,92.471,0.843,93.394,-0.034,1.262
adrian johnson,258,38114.0,2983.0,2852.9,35131.0,35261.1,-0.533,92.172,92.51,-0.34,92.975,0.05,1.57
alan porter,261,36587.0,2316.0,2744.0,34271.0,33843.0,1.806,93.69,92.495,1.192,93.644,-0.035,1.284
alex mackay,33,4978.0,286.0,329.0,4692.0,4649.0,1.303,94.212,93.379,0.83,93.109,0.119,1.179
alex tosi,85,13190.0,684.0,907.5,12506.0,12282.5,2.629,94.813,93.107,1.709,93.829,0.12,1.061
alfonso marquez,269,38380.0,2804.0,2882.1,35576.0,35497.9,0.317,92.698,92.488,0.209,93.313,0.086,1.513
andy fletcher,246,34983.0,2890.0,2634.6,32093.0,32348.4,-1.115,91.695,92.441,-0.747,92.597,-0.051,1.657
angel hernandez,247,34592.0,2766.0,2626.6,31826.0,31965.4,-0.631,92.0,92.396,-0.393,92.622,0.007,1.681
anthony johnson,1,161.0,13.0,13.1,148.0,147.9,0.1,91.9,91.9,0.1,93.8,1.15,1.55
ben may,224,31733.0,1942.0,2269.5,29791.0,29463.5,1.567,93.897,92.852,1.046,93.784,-0.012,1.237
bill miller,284,40081.0,2944.0,3010.7,37137.0,37070.3,0.25,92.685,92.514,0.17,93.307,0.071,1.416
bill welke,198,26603.0,2086.0,2108.9,24517.0,24494.1,0.132,92.167,92.075,0.084,92.785,0.052,1.508
bob davidson,59,8591.0,922.0,796.0,7669.0,7795.0,-2.25,89.348,90.757,-1.407,92.202,-0.132,2.038
brennan miller,78,11735.0,742.0,758.2,10993.0,10976.8,0.21,93.621,93.538,0.084,93.494,0.042,1.301
brian gorman,118,16127.0,1404.0,1309.0,14723.0,14818.0,-0.905,91.293,91.864,-0.571,92.887,0.032,1.738
brian knight,227,33512.0,2534.0,2534.7,30978.0,30977.3,0.003,92.426,92.421,0.005,93.071,-0.048,1.54
